nation,panoID,options,answer-type
Ukraine,k3_5B4RskHz9OIOFnWL0iA,"['Russia', 'Belarus', 'Poland']",country
Ireland,nqkzAZndmmX1_26MrddJqw,"['United Kingdom', 'France', 'Iceland']",country
Russia,o4S5ORBbuSGKqyO0uRSv3Q,"['China', 'Mongolia', 'Kazakhstan']",country
Greece,S-1CzP10sl3AhNA-lcZwBA,"['Bulgaria', 'Albania', 'North Macedonia']",country
Senegal,90FYGc9yWHjTnvYfuUWvHQ,"['Mauritania', 'Mali', 'Guinea']",country
Sweden,XzQ9d0oWrHspstJeE0xZAA,"['Denmark', 'Norway', 'Finland']",country
China,N7O7Eb6knP7wkL8yGi6fiw,"['India', 'Russia', 'Kazakhstan']",country
Kenya,NQqjFUWqyTT9kqMYaB8rFQ,"['Tanzania', 'Ethiopia', 'Somalia']",country
Sri Lanka,zkhRy7uT8Mv6bVag53q1Wg,"['Bangladesh', 'Maldives', 'India']",country
Kyrgyzstan,ou_Wxb6S4Ia0EvDYdPvvpA,"['Tajikistan', 'China', 'Kazakhstan']",country
Philippines,cTFwYsqqBSPJtWhC_IshzQ,"['Malaysia', 'Indonesia', 'Palau']",country
Ukraine,NjUnbSm58NJK8WBfwZjXyw,"['Belarus', 'Poland', 'Russia']",country
Tunisia,92HXhx2UnftppsmxD_PfZw,"['Algeria', 'Libya', 'Italy']",country
Argentina,mJNg2CLpADPItxIsT3B9CQ,"['Chile', 'Bolivia', 'Paraguay']",country
Bolivia,SMpOjihIZg01rd0j5u_2Pg,"['Brazil', 'Peru', 'Chile']",country
Ghana,joN1H6uLv0EKg1PqrQcYBA,"[""Côte d'Ivoire"", 'Burkina Faso', 'Togo']",country
China,yRTWe2DY2xeEJHGJjrubmA,"['Kazakhstan', 'India', 'Russia']",country
Sri Lanka,O-qvoTIJ5N96GW-le-Ewhg,"['Bangladesh', 'Maldives', 'India']",country
Guatemala,qSuoAtKlH5QQaQUg6OYZcg,"['Belize', 'Mexico', 'El Salvador']",country
